"abi","cab","id","name","street","zip","country:id"
"06310","10500","base.0631010500","CASSA DI RISPARMIO DI SAVONA","VIA BELGRANO, 1","18100","base.it"
"03500","10500","base.0350010500","C.A.B. - SOCIETA' PER AZIONI","VIALE MATTEOTTI, 13","18100","base.it"
"03500","00000","base.0350000000","BANCA CREDITO AGRARIO BRESCIANO - C.A.B."," ","18100","base.it"
"03075","22700","base.0307522700","BANCA GENERALI - SOCIETA' PER AZIONI (IN FORMA ABBREVIATA GENERBANCA)","VIA MATTEOTTI 178 PIANO PRIMO","18038","base.it"
"03204","10500","base.0320410500","BANCA DI LEGNANO S.P.A.","VIA BELGRANO, 6","18100","base.it"
"02008","10503","base.0200810503","UNICREDIT BANCA S.P.A.","VIA MATTEOTTI, 94","18100","base.it"
"02008","10500","base.0200810500","UNICREDIT BANCA S.P.A.","VIALE MATTEOTTI, 136","18100","base.it"
"02008","10502","base.0200810502","UNICREDIT BANCA S.P.A.","VIA ALFIERI, 12","18100","base.it"
"02008","10501","base.0200810501","UNICREDIT BANCA S.P.A.","VIALE MATTEOTTI, 33","18100","base.it"
"03440","10500","base.0344010500","BANCO DI DESIO E DELLA BRIANZA - SOCIETA' PER AZIONI","VIA G. BERIO, 20","18100","base.it"
"05188","10501","base.0518810501","BANCO POPOLARE DI VERONA E NOVARA SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA","PORTO MAURIZIO - VIA RAMBALDO","18100","base.it"
"05188","10500","base.0518810500","BANCO POPOLARE DI VERONA E NOVARA SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA","VIA DON ABBO IL SANTO, 8 - PIAZZA ROSSINI, 2","18100","base.it"
"05437","10500","base.0543710500","BIPOP CARIRE, SOCIETA' PER AZIONI","VIA MATTEOTTI, 94","18100","base.it"
"05034","10500","base.0503410500","BANCO BPM SOCIETA' PER AZIONI","VIA DON ABBO IL SANTO, 8 ANGOLO PIAZZA ROSSINI, 2","18100","base.it"
"03207","10500","base.0320710500","CAPITALIA, SOCIETA' PER AZIONI","VIA ALFIERI, 12","18100","base.it"
"03001","10500","base.0300110500","BANCO AMBROSIANO VENETO S.P.A. (OPPURE AMBROVENETO S.P.A.)","VIA BELGRANO, 4","18100","base.it"
"03001","10501","base.0300110501","BANCO AMBROSIANO VENETO S.P.A. (OPPURE AMBROVENETO S.P.A.)","VIA F. CASCIONE, 61/63","18100","base.it"
"03104","10500","base.0310410500","DEUTSCHE BANK S.P.A.","PIAZZA G. BIANCHI, 13","18100","base.it"
"06906","10502","base.0690610502","BANCA REGIONALE EUROPEA S.P.A. (IN FORMA ABBREVIATA B.R.E. BANCA S.P.A.)","VIALE MATTEOTTI, 13","18100","base.it"
"06906","10501","base.0690610501","BANCA REGIONALE EUROPEA S.P.A. (IN FORMA ABBREVIATA B.R.E. BANCA S.P.A.)","VIA G. PUCCINI, 7","18100","base.it"
"06906","10500","base.0690610500","BANCA REGIONALE EUROPEA S.P.A. (IN FORMA ABBREVIATA B.R.E. BANCA S.P.A.)","VIA G. PUCCINI, 7","18100","base.it"
"02005","10500","base.0200510500","BANCO DI ROMA","VIA ALFIERI, 12","18100","base.it"
"03111","10500","base.0311110500","BANCA LOMBARDA SOCIETA' PER AZIONI","VIALE MATTEOTTI, 13","18100","base.it"
"05040","10500","base.0504010500","BANCA ANTONVENETA S.P.A. (IN FORMA ABBREVIATA ANTONVENETA S.P.A.)","VIA SCHIVA, 58","18100","base.it"
"06075","10500","base.0607510500","CASSA DI RISPARMIO DI ALESSANDRIA S.P.A.","VIA BELGRANO, 6","18100","base.it"
"03002","10500","base.0300210500","BANCA DI ROMA","VIA ALFIERI, 12","18100","base.it"
"05608","10500","base.0560810500","BANCA POPOLARE DI NOVARA","VIA DON ABBO IL SANTO, 8 - PIAZZA ROSSINI, 2","18100","base.it"
"05608","10501","base.0560810501","BANCA POPOLARE DI NOVARA","PORTO MAURIZIO - VIA RAMBALDO","18100","base.it"
"06030","10522","base.0603010522","CREDIT AGRICOLE CARISPEZIA S.P.A.","VIA FELICE CASCIONE, 72/A","18100","base.it"
"06030","10501","base.0603010501","CREDIT AGRICOLE CARISPEZIA S.P.A.","VIA DE SONNAZ, 24","18100","base.it"
"03359","10500","base.0335910500","BANCA PROSSIMA S.P.A. (IN FORMA ABBREVIATA PROSSIMA S.P.A.)","PIAZZA MARCONI, 3","18100","base.it"
"03359","10501","base.0335910501","BANCA PROSSIMA S.P.A. (IN FORMA ABBREVIATA PROSSIMA S.P.A.)","PIAZZA MARCONI, 3","18100","base.it"
"03359","10502","base.0335910502","BANCA PROSSIMA S.P.A. (IN FORMA ABBREVIATA PROSSIMA S.P.A.)","PIAZZA DANTE, 8A","18100","base.it"
"05526","10500","base.0552610500","BANCO DI SAN GIORGIO S.P.A.","VIALE MATTEOTTI, 13","18100","base.it"
"05526","10501","base.0552610501","BANCO DI SAN GIORGIO S.P.A.","VIA G. PUCCINI, 7","18100","base.it"
"03069","10510","base.0306910510","BANCA INTESA S.P.A. (IN FORMA ABBREVIATA INTESA S.P.A.)","VIA BELGRANO, 4","18100","base.it"
