id,code_number,description,add_entry
"combined_nom_1000000",1000000,"Merci del capitolo 01 al di sotto della soglia di assimilazione",
"combined_nom_1011010",1011010,"Cavalli, riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1011090",1011090,"Asini, riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1019011",1019011,"Cavalli destinati alla macellazione","Numero dei pezzi"
"combined_nom_1019019",1019019,"Cavalli, vivi (escl. riproduttori di razza pura e cavalli destinati alla macellazione)","Numero dei pezzi"
"combined_nom_1019030",1019030,"Asini, vivi","Numero dei pezzi"
"combined_nom_1019090",1019090,"Muli e bardotti, vivi","Numero dei pezzi"
"combined_nom_1021010",1021010,"Giovenche, riproduttrici di razza pura","Numero dei pezzi"
"combined_nom_1021030",1021030,"Vacche, riproduttrici di razza pura","Numero dei pezzi"
"combined_nom_1021090",1021090,"Bovini, riproduttori di razza pura, escluse le giovenche e le vacche","Numero dei pezzi"
"combined_nom_1029005",1029005,"Bovini domestici, non riproduttori, di peso fino a 80kg","Numero dei pezzi"
"combined_nom_1029021",1029021,"Bovini domestici, non riproduttori, di peso superiore a 80 e fino a 160kg, destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029029",1029029,"Bovini domestici, non riproduttori, di peso superiore a 80 e fino a 160kg, diversi da quelli destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029041",1029041,"Bovini domestici, non riproduttori, di peso superiore a 160 e fino a 300kg, destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029049",1029049,"Bovini domestici, non riproduttori, di peso superiore a 160 e fino a 300kg, diversi da quelli destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029051",1029051,"Giovenche, non riproduttrici, di peso superiore a 300kg, destinate alla macellazione","Numero dei pezzi"
"combined_nom_1029059",1029059,"Giovenche, non riproduttrici, di peso superiore a 300kg, diverse da quelle destinate alla macellazione","Numero dei pezzi"
"combined_nom_1029061",1029061,"Vacche, non riproduttrici, di peso superiore a 300kg, destinate alla macellazione","Numero dei pezzi"
"combined_nom_1029069",1029069,"Vacche, non riproduttrici, di peso superiore a 300kg, diverse da quelle destinate alla macellazione","Numero dei pezzi"
"combined_nom_1029071",1029071,"Bovini domestici non riproduttori, di peso superiore a 300kg, escluse le giovenche e le vacche, destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029079",1029079,"Bovini domestici non riproduttori, di peso superiore a 300kg, escluse le giovenche e le vacche, diversi da quelli destinati alla macellazione","Numero dei pezzi"
"combined_nom_1029090",1029090,"Bovini, vivi (escl. riproduttori di razza pura e bovini domestici)","Numero dei pezzi"
"combined_nom_1031000",1031000,"Suini domestici, riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1039110",1039110,"Suini, vivi, di peso < 50 kg (escl. riproduttori di razza pura)","Numero dei pezzi"
"combined_nom_1039190",1039190,"Suini non domestici, di peso inferiore a 50kg","Numero dei pezzi"
"combined_nom_1039211",1039211,"Scrofe che hanno figliato almeno una volta, di peso minimo di 160kg","Numero dei pezzi"
"combined_nom_1039219",1039219,"Suini, vivi, di peso >= 50 kg (escl. riproduttori di razza pura, nonchè scrofe di peso >= 160 kg che hanno figliato almeno una volta)","Numero dei pezzi"
"combined_nom_1039290",1039290,"Suini, non domestici, pesanti 50kg o piu'","Numero dei pezzi"
"combined_nom_1041010",1041010,"Ovini, vivi, riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1041030",1041030,"Agnelli, esclusi i riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1041080",1041080,"Ovini, esclusi i riproduttori di razza pura e gli agnelli","Numero dei pezzi"
"combined_nom_1042010",1042010,"Caprini, vivi, riproduttori di razza pura","Numero dei pezzi"
"combined_nom_1042090",1042090,"Caprini, vivi (escl. riproduttori di razza pura )","Numero dei pezzi"
"combined_nom_1051111",1051111,"Pulcini femmine, destinati alla riproduzione, di galline di razza ovaiola, di peso =< 185 g","Numero dei pezzi"
"combined_nom_1051119",1051119,"Pulcini femmine, destinati alla riproduzione, di galline delle specie domestiche, di peso =< 185 g (escl. razze ovaiole)","Numero dei pezzi"
"combined_nom_1051191",1051191,"Galli e galline, esclusi i pulcini femmine per la selezione e la riproduzione, delle razze ovaiole, di peso fino a 185g","Numero dei pezzi"
"combined_nom_1051199",1051199,"Galline e galli delle specie domestiche, vivi, di peso =< 185 g (escl. tacchini e tacchine, faraone, pulcini femmine destinati alla riproduzione nonchè razze ovaiole)","Numero dei pezzi"
"combined_nom_1051200",1051200,"Tacchini e tacchine ""pollame domestico"" vivi, di peso =< 185 g","Numero dei pezzi"
"combined_nom_1051920",1051920,"Oche ""pollame domestico"" vive, di peso =< 185 g","Numero dei pezzi"
"combined_nom_1051990",1051990,"Anatre e faraone, pesanti fino a 185g","Numero dei pezzi"
"combined_nom_1059200",1059200,"Galli e galline ""pollame domestico"" vivi, di peso > 185 g e =< 2 kg (escl. tacchini, tacchine e faraone)","Numero dei pezzi"
"combined_nom_1059300",1059300,"Galli e galline ""pollame domestico"" vivi, di peso > 2 kg (escl. tacchini, tacchine e faraone)","Numero dei pezzi"
"combined_nom_1059910",1059910,"Anatre, pesanti piu' di 185g","Numero dei pezzi"
"combined_nom_1059920",1059920,"Oche, pesanti piu' di 185g","Numero dei pezzi"
"combined_nom_1059930",1059930,"Tacchini e tacchine, pesanti piu' di 185g","Numero dei pezzi"
"combined_nom_1059950",1059950,"Faraone, pesanti piu' di 185g","Numero dei pezzi"
"combined_nom_1061100",1061100,"Primati vivi","Numero dei pezzi"
"combined_nom_1061200",1061200,"Balene, delfini e marsovini ""mammiferi della specie dei cetacei"" nonche' lamantini e dugonghi ""mammiferi della specie dei sireni"", vivi","Numero dei pezzi"
"combined_nom_1061910",1061910,"Conigli domestici, vivi","Numero dei pezzi"
"combined_nom_1061990",1061990,"Mammiferi vivi (escl. primati, balene, delfini e marsovini ""mammiferi della specie dei cetacei"", lamantini e dugonghi ""mammiferi della specie dei sireni"", cavalli, asini, muli, bardotti, bovini, suidi, ovini, caprini e conigli domestici)",
"combined_nom_1062000",1062000,"Rettili, compresi i serpenti e le tartarughe marine, vivi","Numero dei pezzi"
"combined_nom_1063100",1063100,"Uccelli rapaci, vivi","Numero dei pezzi"
"combined_nom_1063200",1063200,"Psittaformici, compresi pappagalli, cocorite, are e cacatua, vivi","Numero dei pezzi"
"combined_nom_1063910",1063910,"Piccioni, vivi","Numero dei pezzi"
"combined_nom_1063990",1063990,"Uccelli vivi (escl. uccelli rapaci e psittaformici ""compresi i pappagalli, cocorite, are e cacatua"", nonche' piccioni)",
"combined_nom_1069000",1069000,"Animali vivi (escl. mammiferi, rettili, uccelli, pesci, crostacei, molluschi ed altri invertebrati acquatici nonche' colture di microorganismi e simili)",
"combined_nom_2000000",2000000,"Merci del capitolo 02 al di sotto della soglia di assimilazione",
"combined_nom_2011000",2011000,"Carcasse o mezzene, di bovini, fresche o refrigerate",
"combined_nom_2012020",2012020,"Quarti detti ""compensati"", di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012030",2012030,"Busti e quarti anteriori, di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012050",2012050,"Selle e quarti posteriori, di bovini, non disossati, freschi o refrigerati",
"combined_nom_2012090",2012090,"Carni di bovini (non disossate) fresche o refrigerate (escl. carcasse, mezzene, quarti compensati, busti, quarti anteriori, selle, quarti posteriori)",
"combined_nom_2013000",2013000,"Carni di bovini, disossate, fresche o refrigerate",
"combined_nom_2021000",2021000,"Carcasse o mezzene di bovini, congelate",
"combined_nom_2022010",2022010,"Quarti compensati di bovini (non disossati) congelati",
"combined_nom_2022030",2022030,"Busti e quarti anteriori di bovini, non disossati, congelati",
"combined_nom_2022050",2022050,"Selle e quarti posteriori di bovini, non disossati, congelati",
"combined_nom_2022090",2022090,"Carni di bovini (non disossate) congelate (escl. carcasse, mezzene, quarti compensati, busti, quarti anteriori, selle, quarti posteriori)",
"combined_nom_2023010",2023010,"Quarti anteriori, interi o fino a 5 pezzi in unico blocco di congelazione; quarti ""compensati"" in due blocchi di congelazione contenenti uno il quarto anteriore intero o massimo in 5 pezzi e l'altro il quarto posteriore, senza filetto, in pezzo unico",
"combined_nom_2023050",2023050,"Tagli di quarti anteriori e di punta di petto di bovini, disossati e congelati",
"combined_nom_2023090",2023090,"Carni di bovini, disossate, congelate (escl. quarti anteriori interi o tagliati al massimo in cinque pezzi, ogni quarto in un solo blocco di congelazione; quarti compensati in due blocchi di congelazione contenenti l'uno, il quarto anteriore intero o",
"combined_nom_2031110",2031110,"Carcasse o mezzene di suidi domestici, fresche o refrigerate",
"combined_nom_2031190",2031190,"Carcasse o mezzene di suidi (non domestici) fresche o refrigerate",
"combined_nom_2031211",2031211,"Prosciutti e loro pezzi, non disossati, di suini domestici, freschi o refrigerati",
"combined_nom_2031219",2031219,"Spalle e loro pezzi, non disossate, di suini domestici, fresche o refrigerate",
"combined_nom_2031290",2031290,"Prosciutti, spalle e loro pezzi, di suidi (non domestici) (non disossati) freschi o refrigerati",
"combined_nom_2031911",2031911,"Parti anteriori e loro pezzi, di suidi domestici, freschi o refrigerati",
"combined_nom_2031913",2031913,"Lombate e loro pezzi, di suini domestici, fresche o refrigerate",
"combined_nom_2031915",2031915,"Pancette e loro pezzi, di suini domestici, fresche o refrigerate",
"combined_nom_2031955",2031955,"Carni di suidi domestici, disossate, fresche o refrigerate (escl. pancette ""ventresche"" e loro pezzi)",
"combined_nom_2031959",2031959,"Carni di suidi domestici (non disossate) fresche o refrigerate (escl. carcasse, mezzene, nonchè prosciutti, spalle, parti anteriori, lombate, pancette ""ventresche"", e loro pezzi)",
"combined_nom_2031990",2031990,"Carni di suidi (non domestici) (non disossate) fresche o refrigerate (escl. carcasse, mezzene, nonchè prosciutti, spalle, e loro pezzi)",
"combined_nom_2032110",2032110,"Carcasse o mezzene di suidi domestici, congelate",
"combined_nom_2032190",2032190,"Carcasse o mezzene di suidi (non domestici) congelate",
