"id","code_number","description"
"service_code_1",1," Agricoltura, caccia e relativi servizi"
"service_code_16110",16110," Servizi di supporto alla produzione vegetale"
"service_code_16210",16210," Servizi di supporto alla produzione animale"
"service_code_16310",16310," Servizi successivi alla raccolta"
"service_code_16410",16410," Servizi di lavorazione di sementi a fini di moltiplicazione"
"service_code_17010",17010," Caccia e cattura di animali e servizi associati"
"service_code_2",2," Silvicoltura e relativi servizi"
"service_code_21020",21020," Servizi vivaistici per piante forestali"
"service_code_24010",24010," Servizi di supporto per la silvicoltura"
"service_code_3",3," Pesca, acquacoltura e relativi servizi"
"service_code_30071",30071," Servizi di supporto per la pesca"
"service_code_30072",30072," Servizi di supporto per l'acquacoltura"
"service_code_9",9," Servizi di supporto per le attività di estrazione"
"service_code_91011",91011," Servizi di perforazione connessi all'estrazione di petrolio e di gas naturale"
"service_code_91012",91012," Servizi di costruzione, riparazione e smantellamento di torri di trivellazione e connessi servizi di supporto per l'estrazione di petrolio e di gas naturale"
"service_code_91013",91013," Servizi di liquefazione e rigassificazione del gas naturale per il trasporto, effettuati sul posto dell'estrazione"
"service_code_99011",99011," Servizi di supporto per l'estrazione di carbon fossile"
"service_code_99019",99019," Servizi di supporto per l'estrazione di altri minerali e prodotti di cava, n.c.a."
"service_code_10",10," Alimentare e relativi servizi"
"service_code_101199",101199," Attività in subfornitura nell'ambito della produzione di carni trasformate e conservate"
"service_code_101299",101299," Attività in subfornitura nell'ambito della produzione di carni di pollame trasformate e conservate"
"service_code_101391",101391," Cottura ed altri servizi connessi alla preparazione di prodotti a base di carne"
"service_code_101399",101399," Attività in subfornitura nell'ambito della produzione di prodotti a base di carne (anche di volatili)"
"service_code_102091",102091," Affumicatura ed altri servizi di conservazione e preparazione per la fabbricazione di prodotti a base di pesce"
"service_code_102099",102099," Attività in subfornitura nell'ambito della produzione di carni di pesce, crostacei e molluschi, trasformate e conservate"
"service_code_103191",103191," Cottura ed altri servizi connessi alla preparazione di patate e prodotti a base di patate"
"service_code_103199",103199," Attività in subfornitura nell'ambito della produzione di patate trasformate e conservate"
"service_code_103299",103299," Attività in subfornitura nell'ambito della produzione dei succhi di frutta e di ortaggi"
"service_code_103991",103991," Cottura ed altri servizi connessi alla preparazione di conserve di frutta e di ortaggi"
"service_code_103999",103999," Attività in subfornitura nell'ambito della produzione di altre preparazioni e conserve di frutta e ortaggi"
"service_code_104199",104199," Attività in subfornitura nell'ambito della produzione degli oli e dei grassi"
"service_code_104299",104299," Attività in subfornitura nell'ambito della produzione della margarina e dei grassi commestibili simili"
"service_code_105199",105199," Attività in subfornitura nell'ambito della produzione dei prodotti lattiero-caseari"
"service_code_105299",105299," Attività in subfornitura nell'ambito della produzione dei gelati"
"service_code_106199",106199," Attività in subfornitura nell'ambito della produzione dei prodotti della macinazione"
"service_code_106299",106299," Attività in subfornitura nell'ambito della produzione di amidi e fecole"
"service_code_107199",107199," Attività in subfornitura nell'ambito della produzione del pane fresco o congelato e dei prodotti di pasticceria"
"service_code_107299",107299," Attività in subfornitura nell'ambito della produzione delle fette biscottate e dei biscotti; prodotti di pasticceria conservati"
"service_code_107399",107399," Attività in subfornitura nell'ambito della produzione di paste alimentari, cuscus e prodotti farinacei simili"
"service_code_108199",108199," Attività in subfornitura nell'ambito della produzione dello zucchero"
"service_code_108299",108299," Attività in subfornitura nell'ambito della produzione del cacao, del cioccolato e delle confetterie"
"service_code_108399",108399," Attività in subfornitura nell'ambito della produzione del caffÔö£┬┐ e del tÔö£┬┐"
"service_code_108499",108499," Attività in subfornitura nell'ambito della produzione dei condimenti"
"service_code_108599",108599," Attività in subfornitura nell'ambito della produzione di pasti preparati"
"service_code_108699",108699," Attività in subfornitura nell'ambito della produzione di preparazioni alimentari omogeneizzate e alimenti dietetici"
"service_code_108999",108999," Attività in subfornitura nell'ambito della produzione di altri prodotti alimentari n.c.a."
"service_code_109199",109199," Attività in subfornitura nell'ambito della produzione di preparazioni per l'alimentazione del bestiame di allevamento"
"service_code_109299",109299," Attività in subfornitura nell'ambito della produzione di alimenti per animali domestici"
"service_code_11",11," Bevande e relativi servizi"
"service_code_110199",110199," Attività in subfornitura nell'ambito della produzione delle bevande alcoliche distillate"
"service_code_110299",110299," Attività in subfornitura nell'ambito della produzione di vini di uve"
"service_code_110399",110399," Attività in subfornitura nell'ambito della produzione di sidro e di altri vini a base di frutta"
"service_code_110499",110499," Attività in subfornitura nell'ambito della produzione di altre bevande fermentate non distillate"
"service_code_110599",110599," Attività in subfornitura nell'ambito della produzione della birra"
"service_code_110699",110699," Attività in subfornitura nell'ambito della produzione del malto"
"service_code_110799",110799," Attività in subfornitura nell'ambito della produzione delle acque minerali e bibite Analcoliche"
"service_code_12",12," Industria del tabacco e relativi servizi"
"service_code_120099",120099," Attività in subfornitura nell'ambito della produzione dei prodotti a base di tabacco"
"service_code_13",13," Tessile e relativi servizi"
"service_code_131093",131093," Servizi di preparazione delle fibre tessili naturali"
"service_code_131099",131099," Attività in subfornitura nell'ambito della produzione dei filati"
"service_code_132099",132099," Attività in subfornitura nell'ambito della produzione dei tessuti"
"service_code_133011",133011," Servizi di candeggio e tintura delle fibre e dei filati tessili"
"service_code_133012",133012," Servizi di candeggio dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)"
"service_code_133013",133013," Servizi di tintura dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)"
"service_code_133014",133014," Servizi di stampa dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)"
"service_code_133019",133019," Altri servizi di finissaggio dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)"
"service_code_139199",139199," Attività in subfornitura nell'ambito della produzione delle stoffe a maglia"
"service_code_139299",139299," Attività in subfornitura nell'ambito della produzione di manufatti tessili confezionati, esclusi gli articoli di vestiario"
"service_code_139399",139399," Attività in subfornitura nell'ambito della produzione dei tappeti e di altri rivestimenti del suolo di materie tessili"
"service_code_139499",139499," Attività in subfornitura nell'ambito della produzione di corde, funi, spago e reti"
"service_code_139599",139599," Attività in subfornitura nell'ambito della produzione di tessuti non tessuti e articoli in tali materie, esclusi gli articoli di vestiario"
"service_code_139699",139699," Attività in subfornitura nell'ambito della produzione dei tessuti per uso tecnico e industriale"
"service_code_139999",139999," Attività in subfornitura nell'ambito della fabbricazione di altri prodotti dell'industria tessile n.c.a."
"service_code_14",14," Abbigliamento e relativi servizi"
"service_code_141199",141199," Attività in subfornitura nell'ambito della produzione degli indumenti di cuoio"
"service_code_141299",141299," Attività in subfornitura nell'ambito della produzione degli indumenti da lavoro"
"service_code_141399",141399," Attività in subfornitura nell'ambito della produzione di indumenti esterni"
"service_code_141499",141499," Attività in subfornitura nell'ambito della produzione di biancheria intima"
"service_code_141999",141999," Attività in subfornitura nell'ambito della produzione di altri articoli di abbigliamento ed accessori"
"service_code_142099",142099," Attività in subfornitura nell'ambito della produzione di articoli in pelliccia"
"service_code_143199",143199," Attività in subfornitura nell'ambito della produzione di articoli di calzetteria, a maglia"
"service_code_143999",143999," Attività in subfornitura nell'ambito della produzione di altri articoli di maglieria"
"service_code_15",15," Cuoio e relativi servizi"
"service_code_151199",151199," Attività in subfornitura nell'ambito della produzione del cuoio conciato o ulteriormente lavorato; pellicce apprettate e tinte"
"service_code_151299",151299," Attività in subfornitura nell'ambito della produzione di oggetti di selleria e finimenti, articoli da viaggio, borse e simili"
"service_code_152099",152099," Attività in subfornitura nell'ambito della produzione delle calzature"
"service_code_16",16," Industria del legno, sughero, paglia e materiali da intreccio (esclusi i mobili) e relativi servizi"
"service_code_161091",161091," Servizi di essiccazione, di impregnazione o di trattamento chimico del legno"
"service_code_161099",161099," Attività in subfornitura nell'ambito della produzione di legno segato e piallato"
"service_code_162191",162191," Servizi di finitura di pannelli"
"service_code_162199",162199," Attività in subfornitura nell'ambito della produzione di fogli da impiallacciatura e di pannelli di legno"
"service_code_162299",162299," Attività in subfornitura nell'ambito della fabbricazione di pavimenti a parquet assemblati"
"service_code_162399",162399," Attività in subfornitura nell'ambito della fabbricazione di altri prodotti di carpenteria e di falegnameria per l'edilizia"
"service_code_162499",162499," Attività in subfornitura nell'ambito della produzione di imballaggi in legno"
"service_code_162991",162991," Legno e sughero, esclusi i mobili; servizi legati alla fabbricazione di articoli in paglia e materiali da intreccio"
"service_code_162999",162999," Attività in subfornitura nell'ambito della produzione di altri prodotti in legno, di articoli in sughero, paglia e materiali da intreccio"
"service_code_17",17," Carta e relativi servizi"
"service_code_171199",171199," Attività in subfornitura nell'ambito della produzione delle paste di legno"
"service_code_171299",171299,"Attività in subfornitura nell'ambito della produzione della carta e del cartone"
"service_code_172199",172199," Attività in subfornitura nell'ambito della produzione di carta e cartone ondulati e imballaggi di carta e cartone"
"service_code_172299",172299," Attività in subfornitura nell'ambito della fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario"
"service_code_172399",172399," Attività in subfornitura nell'ambito della fabbricazione di prodotti cartotecnici"
"service_code_172499",172499," Attività in subfornitura nell'ambito della produzione della carta da parati"
"service_code_172999",172999," Attività in subfornitura nell'ambito della produzione di altri articoli di carta e di cartone"
"service_code_18",18," Servizi di stampa e di registrazione"
"service_code_181110",181110," Servizi di stampa di giornali"
"service_code_181211",181211," Servizi di stampa di francobolli, marche da bollo, titoli rappresentativi, carte intelligenti, assegni ed altra carta valori e simili"
"service_code_181212",181212," Servizi di stampa di cataloghi pubblicitari, prospetti, manifesti ed altri stampati pubblicitari"
"service_code_181213",181213," Servizi di stampa per giornali e pubblicazioni periodiche, con meno di quattro edizioni alla settimana"
"service_code_181214",181214," Servizi di stampa di libri, lavori cartografici di ogni specie, immagini, incisioni e fotografie, cartoline postali"
"service_code_181215",181215," Servizi di stampa di etichette"
"service_code_181216",181216," Servizi di stampa direttamente su plastica, vetro, metallo, legno e ceramica"
"service_code_181219",181219," Altri servizi di stampa n.c.a."
"service_code_181310",181310," Servizi preliminari alla stampa"
"service_code_181330",181330," Servizi ausiliari connessi alla stampa"
"service_code_181410",181410," Rilegatura e servizi connessi"
"service_code_182010",182010," Servizi di riproduzione di supporti audio registrati"
"service_code_182020",182020," Servizi di riproduzione di supporti video registrati"
"service_code_182030",182030," Servizi di riproduzione di software"
"service_code_19",19," Coke, prodotti petroliferi e relativi servizi"
"service_code_191099",191099," Attività in subfornitura nell'ambito della fabbricazione dei prodotti di cokeria"
"service_code_192099",192099," Attività in subfornitura nell'ambito della fabbricazione dei prodotti petroliferi raffinati"
"service_code_20",20," Chimica e relativi servizi"
"service_code_201199",201199," Attività in subfornitura nell'ambito della produzione dei gas industriali"
"service_code_201299",201299," Attività in subfornitura nell'ambito della produzione di coloranti e pigmenti"
"service_code_201399",201399," Attività in subfornitura nell'ambito della produzione di altri prodotti chimici di base inorganici"
"service_code_201499",201499," Attività in subfornitura nell'ambito della produzione di altri prodotti chimici di base organici"
"service_code_201599",201599," Attività in subfornitura nell'ambito della produzione di concimi e composti azotati"
"service_code_201699",201699," Attività in subfornitura nell'ambito della produzione di materie plastiche in forme Primarie"
"service_code_201799",201799," Attività in subfornitura nell'ambito della produzione di gomme sintetiche in forme primarie"
"service_code_202099",202099," Attività in subfornitura nell'ambito della produzione di pesticidi e di altri prodotti chimici per l'agricoltura"
"service_code_203099",203099," Attività in subfornitura nell'ambito della produzione di pitture, vernici e smalti, inchiostri da stampa e mastici"
"service_code_204199",204199," Attività in subfornitura nell'ambito della produzione di saponi e detergenti, prodotti per la pulizia e la lucidatura"
"service_code_204299",204299," Attività in subfornitura nell'ambito della produzione di profumi e di prodotti per toletta"
"service_code_205199",205199," Attività in subfornitura nell'ambito della produzione di esplosivi"
"service_code_205299",205299," Attività in subfornitura nell'ambito della produzione di colle"
"service_code_205399",205399," Attività in subfornitura nell'ambito della produzione di oli essenziali"
"service_code_205999",205999," Attività in subfornitura nell'ambito della produzione di altri prodotti chimici n.c.a."
"service_code_206099",206099," Attività in subfornitura nell'ambito della produzione di fibre sintetiche e artificiali"
"service_code_21",21," Farmaceutici di base, preparati farmaceutici e relativi servizi"
